Country,BR,Weighted,Count
Germany,9.3,0.09977037200669571,5462596
Germany,9.7,-0.009708590788627049,4115980
Germany,10.0,-0.12022485086623322,4083731
Germany,10.3,-0.07178115279264922,3435895
Germany,10.7,0.27744615634228487,3219535
Germany,11.0,-0.0007716510478861831,3673237
Germany,11.3,-0.0004206101045379689,4946453
Germany,11.7,0.04716646476203441,6120251
Germany,12.0,-0.005329333705361167,6284685
Germany,12.3,0.00795590492879605,5716625
Germany,12.7,0.01813887183112916,3930411
Germany,13.0,0.02363008192352578,1826715
Israel,1.0,0.0,0
Israel,1.3,0.0,0
Israel,1.7,0.0,0
Israel,2.0,0.0,0
Israel,2.3,0.0,0
Israel,2.7,0.0,0
Israel,3.0,0.0,0
Israel,3.3,-0.02363008192352578,677
Israel,3.7,-0.019285278701845456,1841
Israel,4.0,-0.01079026700079366,2940
Israel,4.3,-0.08592852728941838,3332
Israel,4.7,-0.4938694874280905,2696
Israel,5.0,0.7974804352696918,24266
Israel,5.3,0.7534575077061629,74252
Israel,5.7,0.7528583451397203,361670
Israel,6.0,0.06557692347803662,519896
Israel,6.3,-0.03380269244246155,555747
Israel,6.7,-0.0428498921801436,735349
Israel,7.0,-0.0012666309000140639,513034
Israel,7.3,0.05225190635437214,532763
Israel,7.7,0.051674269829599474,772062
Israel,8.0,0.03670579886399384,680724
Israel,8.3,-0.09571099171620501,713256
Israel,8.7,0.009785591495770846,588910
Israel,9.0,0.0024641147642286538,437273
Israel,9.3,0.05443217107466454,478600
Israel,9.7,-0.0031707612379281297,399579
Israel,10.0,0.06884839559694626,401006
Israel,10.3,-0.005897634686294816,433321
Israel,10.7,-0.09407250915352074,507127
Israel,11.0,-0.05925489459063196,629383
Israel,11.3,-0.020781891276233172,866245
Israel,11.7,-0.003616973029128594,881888
Israel,12.0,-0.005942953579765094,828007
Israel,12.3,0.19756939180292432,686745
Israel,12.7,0.3505228857489933,394806
Israel,13.0,0.4699013717265621,200601
Italy,1.0,0.6697230918703929,119215
Italy,1.3,0.2956438380771075,147841
Italy,1.7,0.026550576287274093,207184
Italy,2.0,-0.07786188402980188,242684
Italy,2.3,-0.03365950642806265,249514
Italy,2.7,-0.03950884826679801,290197
Italy,3.0,0.006466669257937872,269034
Italy,3.3,-0.00038380421677832816,365571
Italy,3.7,0.20201926326971775,477523
Italy,4.0,-0.01916611085524766,484415
Italy,4.3,0.047367612292629716,461200
Italy,4.7,-0.03763743485526292,407841
Italy,5.0,-0.010464631951393214,241404
