Vehicle,Country,BR,WinRate,Games,Victories,Defeats,BattleType,UnitClass,UnitMoveType
germ_sdkfz_234_4,Germany,4.7,0.5466906946264745,52488,16685,13835,GRB,exp_tank_destroyer,wheeled_vehicle
mig-15,Ussr,8.3,0.524110571697703,111187,28933,26271,ARB,exp_fighter,air
germ_kv_1B_finland,Germany,4.3,0.5544252725555842,35489,12917,10381,GRB,exp_heavy_tank,heavy_tank
p-40c,Usa,2.3,0.5453061224489796,2334,668,557,ARB,exp_fighter,air
fw-190a-8_france,France,5.0,0.6326459279972038,6465,1810,1051,ARB,exp_fighter,air
pe-2-359,Ussr,4.3,0.4984078847611827,47664,3287,3308,ARB,exp_bomber,air
a7m1,Japan,5.0,0.6159835127089535,47537,18830,11739,ARB,exp_fighter,air
germ_pzkpfw_V_ersatz_m10,Germany,6.0,0.508619038498372,17924,5311,5131,GRB,exp_tank,tank
hp52_hampden_tbmk1,Britain,1.7,0.512005410889415,9393,1514,1443,ARB,exp_bomber,air
sm_79_1939_italy,Italy,2.0,0.5080168776371308,9379,602,583,ARB,exp_bomber,air
spitfire_mk5b_notrop,Britain,4.0,0.5577978504459181,28001,9757,7735,ARB,exp_fighter,air
uk_armored_car_aec_mk_2,Britain,3.0,0.5957884545564565,14614,4923,3340,GRB,exp_tank,wheeled_vehicle
whirlwind_p9,Britain,3.7,0.6118963486454653,5451,2078,1318,ARB,exp_fighter,air
us_t18_e2,Usa,3.0,0.6078532015911715,11399,4737,3056,GRB,exp_tank,wheeled_vehicle
pv_2d,Usa,3.7,0.511826988060374,9387,2272,2167,ARB,exp_bomber,air
ussr_a_12_mk_2_matilda_2A_F96,Ussr,3.3,0.5836249125262422,3230,834,595,GRB,exp_heavy_tank,heavy_tank
sm_79_1936,Germany,1.7,0.5,848,167,167,ARB,exp_bomber,air
ussr_is_7,Ussr,8.3,0.6111875,23833,9779,6221,GRB,exp_heavy_tank,heavy_tank
fr_lorraine_155,France,4.3,0.5345359601234275,9295,2252,1961,GRB,exp_tank_destroyer,tank
sb_2m_103c,Ussr,2.0,0.5020264317180617,17701,2849,2826,ARB,exp_bomber,air
ussr_pr_123bis,Ussr,2.3,0.46724169572398605,12875,2546,2903,NRB,exp_torpedo_boat,fast_ship
ussr_pr_123k,Ussr,2.3,0.49286291408564503,20776,3660,3766,NRB,exp_torpedo_boat,fast_ship
ussr_bmo,Ussr,3.0,0.49379751900760305,9117,2468,2530,NRB,exp_gun_boat,fast_ship
ussr_mpk_122a,Ussr,2.0,0.4942381562099872,7788,1930,1975,NRB,exp_submarine_chaser,fast_ship
ussr_1124_art,Ussr,2.0,0.49315361574668376,8657,2305,2369,NRB,exp_gun_boat,fast_ship
ussr_kv_2_1940,Ussr,3.7,0.5406264185201998,10087,2382,2024,GRB,exp_heavy_tank,heavy_tank
sb_2m_103u_mv3,Ussr,2.3,0.4797867614393603,6257,1080,1171,ARB,exp_bomber,air
la_174,Ussr,8.0,0.6089449541284404,3082,531,341,ARB,exp_fighter,air
sm_79_1941_italy,Italy,2.3,0.484039223868141,20446,2320,2473,ARB,exp_bomber,air
us_t30,Usa,6.7,0.5649041924794698,51816,11763,9060,GRB,exp_heavy_tank,heavy_tank
ussr_su_85a,Ussr,4.0,0.46282480061744274,12221,1799,2088,GRB,exp_tank_destroyer,tank
uk_a_34_comet_iron_duke,Britain,5.3,0.5225922592259226,11074,2903,2652,GRB,exp_tank,tank
ussr_1124_ack,Ussr,2.3,0.49393440167740005,11746,3298,3379,NRB,exp_gun_boat,fast_ship
ussr_pr_191,Ussr,2.7,0.49578820697954273,8367,2472,2514,NRB,exp_gun_boat,fast_ship
germ_vs10_hydrofoil,Germany,3.0,0.5162753036437246,19671,3188,2987,NRB,exp_torpedo_boat,fast_ship
fj_4b_agm_12b,Usa,8.7,0.5470843183609141,12192,2777,2299,ARB,exp_assault,air
re_2001_cb,Italy,3.0,0.5354038854805726,14506,4189,3635,ARB,exp_fighter,air
tb_3_m17_32,Ussr,1.3,0.6775210084033614,2363,645,307,ARB,exp_bomber,air
germ_nbfz_VI,Germany,1.3,0.5614083344794388,14054,4082,3189,GRB,exp_tank,tank
us_merkava_mk_1,Usa,9.0,0.5302370585389453,26131,7672,6797,GRB,exp_tank,tank
fw-190d-9_ussr,Ussr,5.0,0.5371263259402121,6894,1114,960,ARB,exp_fighter,air
ussr_destroyer_leningrad,Ussr,4.3,0.5975085910652921,3975,1391,937,NRB,exp_destroyer,ship
ussr_pr_1204_late,Ussr,2.7,0.49993498894812116,13402,3845,3846,NRB,exp_gun_boat,fast_ship
ussr_pr_183,Ussr,3.3,0.4964793792211525,15199,3455,3504,NRB,exp_torpedo_boat,fast_ship
me-410b-1,Germany,3.7,0.4963266926997154,32297,7499,7610,ARB,exp_assault,air
germ_vt_1_2,Germany,8.7,0.43968480174364993,17485,5245,6684,GRB,exp_tank_destroyer,tank
jp_destroyer_yuudachi,Japan,4.3,0.457325746799431,3650,643,763,NRB,exp_destroyer,ship
ussr_pr_191m,Ussr,3.0,0.4807077382221275,8581,2255,2436,NRB,exp_gun_boat,fast_ship
ussr_skr_groza_1943,Ussr,3.0,0.499379498634897,7408,2012,2017,NRB,exp_torpedo_gun_boat,fast_ship
ussr_valentine_mk_9,Ussr,3.0,0.5048123195380173,4555,1049,1029,GRB,exp_tank,tank
ussr_ba_11,Ussr,1.3,0.5447761194029851,3171,584,488,GRB,exp_tank,wheeled_vehicle
pbm_3,Usa,3.0,0.47699757869249393,2230,197,216,ARB,exp_bomber,air
germ_sdkfz_234_3,Germany,2.0,0.5811786323664523,13885,4428,3191,GRB,exp_tank_destroyer,wheeled_vehicle
do_217n_2,Germany,2.7,0.49291497975708504,5503,1461,1503,ARB,exp_fighter,air
ussr_skr_pr35,Ussr,4.3,0.5286410946939369,29402,7263,6476,NRB,exp_torpedo_gun_boat,fast_ship
il_2_m82,Ussr,2.7,0.5770065075921909,2695,532,390,ARB,exp_assault,air
ussr_skr_pr159,Ussr,4.3,0.5216989843028624,5802,1130,1036,NRB,exp_torpedo_gun_boat,fast_ship
it_p493_freccia,Italy,4.7,0.5114325711619225,3973,1096,1047,NRB,exp_torpedo_boat,fast_ship
arado-196a-3,Germany,1.3,0.5857740585774058,4794,420,297,ARB,exp_bomber,air
f11f_1_late,Usa,9.0,0.45862989323843417,13677,3093,3651,ARB,exp_fighter,air
hurricane_mk1_late_ep,Britain,2.3,0.6384439359267735,829,279,158,ARB,exp_fighter,air
fw-190d-12,Germany,5.0,0.5017902134995359,31471,7568,7514,ARB,exp_fighter,air
ussr_mbk_161_1943,Ussr,3.3,0.484608619173263,4057,1102,1172,NRB,exp_gun_boat,fast_ship
mig-21_pfm,Ussr,9.3,0.4998021891072135,40611,7580,7586,ARB,exp_fighter,air
ussr_destroyer_pr56_spokoinyy,Ussr,5.3,0.48661467116357504,27175,4617,4871,NRB,exp_destroyer,ship
ussr_cruiser_krasnyi_krim,Ussr,5.3,0.4594151407488385,16960,3362,3956,NRB,exp_cruiser,ship
bf-109g-10,Germany,5.7,0.48254504504504503,50020,11141,11947,ARB,exp_fighter,air
germ_sf40_schwere_flakkampffaehre,Germany,2.7,0.4877406843053054,21977,7042,7396,NRB,exp_naval_ferry_barge,slow_ship
b6n2,Japan,2.3,0.5329046598396444,28722,6713,5884,ARB,exp_bomber,air
ussr_cruiser_maxim_gorky,Ussr,5.7,0.5074766355140187,2309,543,527,NRB,exp_cruiser,ship
