Country,BR,Full Downtier,Downtier,Total Downtier,Uptier,Full Uptier,Total Uptier,Count
France,1.3,0.004939626783754116,0.15806805708013172,0.16300768386388584,0.6456797867335737,0.19131252940254037,0.8369923161361141,12754
France,1.7,0.13270142180094788,0.5420616113744076,0.6747630331753555,0.16061084781463927,0.16462611901000526,0.32523696682464454,15192
France,2.0,0.47670043415340085,0.14124457308248914,0.61794500723589,0.14477568740955138,0.2372793053545586,0.38205499276411,17275
France,2.3,0.07610729881472239,0.07800998128509046,0.15411728009981285,0.1278540237055521,0.718028696194635,0.8458827199001872,32060
France,2.7,0.04901038604742308,0.08032529884381737,0.12933568489124045,0.4511071918479326,0.41955712326082695,0.8706643151087595,51030
France,3.0,0.04873669817490042,0.27370548718863325,0.32244218536353364,0.25456274894477143,0.4229950656916949,0.6775578146364664,84105
France,3.3,0.20937170298686653,0.19472841706988758,0.4041001200567541,0.32357114272201404,0.27232873722123185,0.5958998799432459,109948
France,3.7,0.2123397038550417,0.35283499786767697,0.5651747017227187,0.29695821638615877,0.1378670818911226,0.43482529827728134,100829
France,4.0,0.4113070119660096,0.34617029886120587,0.7574773108272155,0.1607144921671773,0.08180819700560726,0.24252268917278455,86495
France,4.3,0.4751491684651517,0.2205947695823283,0.69574393804748,0.11228894249079599,0.191967119461724,0.30425606195252,63016
France,4.7,0.3397033308081425,0.17291855037755677,0.5126218811856993,0.2956183866474426,0.1917597321668581,0.4873781188143007,40921
France,5.0,0.20737354199636598,0.3545220092608874,0.5618955512572534,0.22996893499794854,0.20813551374479808,0.4381044487427466,34122
France,5.3,0.40992883768214167,0.26590986106404607,0.6758386987461877,0.24066418163334463,0.08349711962046764,0.32416130125381226,29510
France,5.7,0.3796506846001258,0.34360636702307806,0.7232570516232039,0.11921234699308142,0.15753060138371475,0.27674294837679614,20669
France,6.0,0.4568083874702515,0.1584871679423683,0.6152955554126198,0.20942947192384384,0.17527497266353637,0.3847044445873802,15547
France,6.3,0.22970075510394333,0.30353314067306797,0.5332338957770113,0.25403188216649575,0.21273422205649295,0.4667661042229887,10727
France,6.7,0.2359762284389042,0.19749239020147846,0.43346861864038266,0.16538628786780693,0.40114509349181043,0.5665313813596173,13798
France,7.0,0.22185133924936903,0.18578523162093952,0.4076365708703086,0.4506228120166083,0.1417406171130831,0.5923634291296914,12283
France,7.3,0.22065364532972345,0.5351962869851092,0.7558499323148327,0.16834268033262426,0.07580738735254303,0.24415006768516728,10342
France,7.7,0.583245521601686,0.18345626975763962,0.7667017913593256,0.08261327713382507,0.1506849315068493,0.23329820864067438,9490
France,8.0,0.4357947434292866,0.19624530663329162,0.6320400500625782,0.3579474342928661,0.010012515644555695,0.36795994993742176,3995
France,8.3,0.34782608695652173,0.6344276841171251,0.9822537710736469,0.01774622892635315,0.0,0.01774622892635315,2254
France,8.7,0.9727891156462585,0.027210884353741496,1.0,0.0,0.0,0.0,1470
France,9.0,1.0,0.0,1.0,0.0,0.0,0.0,40
Germany,1.0,0.004650733029444376,0.004619933472957989,0.009270666502402367,0.22662313662683256,0.7641061968707651,0.9907293334975976,32468
Germany,1.3,0.0039155289879662745,0.19206974862303897,0.19598527761100523,0.6476023910830353,0.15641233130595944,0.8040147223889947,38309
Germany,1.7,0.15241843604350078,0.513909891248058,0.6663283272915588,0.12412221646815122,0.20954945624029,0.3336716727084412,48275
Germany,2.0,0.5494916830937562,0.1327161177434716,0.6822078008372278,0.22405811867372477,0.09373408048904738,0.3177921991627721,45149
Germany,2.3,0.11841429192522035,0.1999130469151417,0.318327338840362,0.08363305798189795,0.59803960317774,0.6816726611596379,50602
Germany,2.7,0.14598034546950084,0.061070464810886474,0.2070508102803873,0.4367000014430639,0.3562491882765488,0.7929491897196127,69297
Germany,3.0,0.0472532380527021,0.3378963823135328,0.3851496203662349,0.2756476105404198,0.33920276909334524,0.614850379633765,89560
Germany,3.3,0.18059641814915825,0.14732614416919798,0.32792256231835626,0.18129464632057624,0.4907827913610675,0.6720774376816437,167567
Germany,3.7,0.12524478717467405,0.15412206382223123,0.2793668509969053,0.41722388514027703,0.3034092638628177,0.7206331490030947,197110
Germany,4.0,0.1450369288207126,0.39262951345622255,0.5376664422769352,0.2855239977656512,0.17680955995741368,0.46233355772306484,209457
